sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2013-06-27;258,600;259,500;259,000;259,800;255,800;259,500;257,834;9380;2418481,4;74;
2013-06-26;256,300;257,500;254,000;257,900;252,100;257,500;254,449;23505;5980816,6;160;
2013-06-25;252,700;252,800;250,000;253,900;249,000;252,600;251,436;12751;3206054;114;
2013-06-24;249,500;249,900;252,000;253,400;248,300;249,500;251,140;16674;4187510,9;153;
2013-06-20;250,800;251,400;260,000;260,000;250,800;250,800;253,976;28999;7365036,9;222;
2013-06-19;260,000;260,200;271,200;271,200;260,000;260,000;263,529;29338;7731406,5;203;
2013-06-18;270,900;272,000;271,700;272,700;266,500;270,900;270,629;4480;1212418,2;55;
2013-06-17;270,200;270,500;273,000;273,000;266,600;270,500;270,779;9392;2543155,4;65;
2013-06-14;270,600;270,700;269,600;272,900;268,200;270,700;270,496;9880;2672504,9;71;
2013-06-13;269,400;269,500;267,900;269,400;264,200;269,400;266,391;8886;2367148,2;74;
2013-06-12;268,000;269,000;270,900;273,600;268,600;269,000;271,388;10168;2759474,1;68;
2013-06-11;270,900;272,000;273,000;273,000;268,900;270,900;271,295;5546;1504601,8;63;
2013-06-10;271,600;273,000;272,500;274,500;271,500;273,000;273,289;9393;2567000,6;79;
2013-06-07;272,400;272,700;269,800;275,300;264,400;272,400;269,665;13764;3711672,3;97;
2013-06-05;266,700;266,900;274,000;274,000;265,900;266,100;270,819;13291;3599458,2;104;
2013-06-04;273,400;274,000;274,200;275,600;272,800;273,400;273,697;5425;1484805,9;58;
2013-06-03;272,600;274,400;271,700;276,000;270,900;274,400;273,446;11250;3076261,8;75;
2013-05-31;275,000;275,900;277,000;277,200;273,000;276,300;275,130;16126;4436744,2;87;
2013-05-30;276,600;276,800;278,000;280,700;276,500;276,800;278,271;31439;8748549;118;
2013-05-29;278,200;279,000;284,000;284,000;278,200;278,200;280,895;30520;8572906,3;151;
