sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2015-06-12;92,600;92,650;93,800;93,850;92,050;92,600;92,966;7196880;669244475,376;6500;
2015-06-11;92,550;92,600;94,350;94,400;92,150;92,600;93,106;8158107;759573877,35;7062;
2015-06-10;94,400;94,450;93,350;94,700;93,000;94,400;94,020;6876917;646568656,15;4921;
2015-06-09;93,550;93,600;93,800;93,900;92,400;93,600;93,299;6480598;604630765,375;6600;
2015-06-08;94,100;94,150;96,000;96,100;93,550;94,150;94,465;6639248;627166414,65;5951;
2015-06-05;96,050;96,100;95,650;96,500;94,150;96,050;95,574;9345840;893268820,6;8352;
2015-06-04;96,450;96,500;95,200;97,400;95,100;96,450;96,415;15731209;1516601518,85;12548;
2015-06-03;94,150;94,200;95,400;95,400;93,800;94,200;94,500;11713099;1106892516,325;9621;
2015-06-02;95,450;95,500;96,450;96,450;94,300;95,500;95,237;7659156;729419248,577;7450;
2015-06-01;95,850;95,900;95,650;96,200;95,350;95,900;95,867;10973242;1051969914,875;7824;
2015-05-29;95,650;95,700;96,900;96,950;94,600;95,700;95,755;15662912;1499646556,625;11151;
2015-05-28;97,050;97,100;94,950;97,600;94,250;97,100;96,094;16107186;1547770817,975;12882;
2015-05-27;93,950;94,000;93,600;94,250;93,250;94,000;93,823;9888541;927767228,525;7231;
2015-05-26;93,200;93,350;93,800;94,350;93,100;93,200;93,762;7633662;715751301,75;6809;
2015-05-25;93,900;93,950;93,300;93,950;93,100;93,950;93,561;3202923;299667141,75;3225;
2015-05-22;93,150;93,200;94,250;94,400;92,900;93,200;93,412;8290342;774404339,15;6275;
2015-05-21;94,100;94,150;95,000;95,200;93,000;94,150;93,901;11110226;1047530984,85;8964;
2015-05-20;95,300;95,350;95,000;95,350;94,400;95,350;94,987;6216183;590456808,488;5778;
2015-05-19;94,950;95,000;94,150;95,300;93,600;95,000;94,569;11682383;1109144130,461;9276;
2015-05-18;94,700;94,750;94,600;95,450;94,150;94,700;94,791;8228987;783593430,483;6632;
2015-05-15;94,600;94,650;94,800;95,450;94,450;94,600;94,862;10514295;997074229,83;8111;
2015-05-13;94,500;94,550;93,750;94,700;93,500;94,500;94,148;5482575;516173090,65;4905;
2015-05-12;93,200;93,300;93,500;93,700;92,300;93,250;93,010;9674750;899530754,7;8021;
2015-05-11;93,700;93,750;94,700;94,700;93,400;93,750;93,889;8854553;831346108,4;7963;
2015-05-08;94,750;94,800;95,000;96,450;93,250;94,800;94,507;21990118;2077036270,4;19777;
2015-05-07;90,750;90,800;90,100;91,450;88,550;90,750;90,150;18410031;1659749708,575;14419;
2015-05-06;90,050;90,100;90,650;91,950;89,700;90,050;90,764;15104245;1371105751,4;13312;
2015-05-05;90,250;90,300;91,850;93,450;89,700;90,250;91,265;22715920;2073651278,1;18174;
2015-05-04;91,450;91,500;92,250;92,500;90,800;91,450;91,749;10645841;976753742,125;9808;
2015-04-30;91,450;91,600;93,550;93,700;91,450;91,450;92,245;12655178;1167886970,325;9908;
2015-04-29;94,150;94,200;96,600;97,200;93,950;94,150;94,995;14116969;1341020574,35;11782;
2015-04-28;96,450;96,500;98,000;98,950;96,050;96,450;97,186;13046241;1267924587,925;10378;
2015-04-27;98,550;98,600;99,200;99,650;97,550;98,600;98,585;11834989;1166886365,275;10882;
2015-04-24;98,500;98,550;100,200;101,300;98,150;98,500;99,371;25472856;2534308610,275;17044;
2015-04-23;99,550;99,600;99,850;102,700;96,200;99,550;99,252;48580695;4822304130,175;35915;
2015-04-22;110,500;110,600;111,300;112,500;109,500;110,600;110,511;9795888;1082519467,25;8463;
2015-04-21;111,200;111,300;109,700;112,000;109,700;111,300;110,975;11565676;1283162709,95;7954;
2015-04-20;109,000;109,100;107,400;109,200;106,900;109,000;108,429;6741542;730591010,05;5250;
2015-04-17;107,100;107,200;109,200;109,900;107,100;107,100;107,861;9755688;1052261598,55;8078;
2015-04-16;108,900;109,100;111,600;111,800;108,900;108,900;109,738;8982500;985713048,45;6334;
2015-04-15;111,300;111,400;110,800;117,000;110,500;111,300;113,026;12786362;1444120581,75;9872;
2015-04-14;114,300;114,400;115,000;120,000;113,400;114,300;115,711;17476551;2013081210,75;14213;
2015-04-13;114,200;114,300;113,400;114,300;113,200;114,300;113,786;8403845;955111791,35;5611;
2015-04-10;113,300;113,400;112,900;113,400;111,800;113,400;112,604;8655004;973772277,45;5708;
2015-04-09;112,800;112,900;110,800;112,900;110,500;112,900;112,081;6176881;692308609,3;4025;
2015-04-08;110,400;110,500;111,200;111,500;110,100;110,500;110,618;6209811;686887174,4;4522;
2015-04-07;111,500;111,600;110,500;111,900;109,600;111,500;111,109;9720764;1079314337,9;6025;
2015-04-02;109,100;109,200;109,000;109,500;108,600;109,100;109,085;2358545;257280214,55;1959;
2015-04-01;108,700;108,800;107,700;109,600;107,100;108,800;108,593;8111048;880870098,75;5635;
2015-03-31;108,300;108,400;109,700;109,800;108,300;108,400;108,861;9304882;1012900750,65;5610;
2015-03-30;109,600;109,700;109,600;111,000;109,200;109,700;109,833;6329273;695164197,95;4943;
2015-03-27;109,100;109,200;110,300;111,400;109,100;109,100;109,954;7671838;843539844,3;6538;
